RowNumber Stress
4918347.5142 7.9867
4928164.4806 7.9933
4937750.4595 7.9920
4947438.3965 7.9907
4956882.4736 7.9907
4966773.4181 7.9920
4975846.6090 8.0121
4985034.6504 8.0107
4995026.6455 8.0041
5004788.9395 7.9987
5014551.2336 8.0041
5023509.5740 8.0041
5033157.0175 7.9933
5043047.9620 7.9867
5053283.9394 7.9867
5062829.8510 7.9933
5072490.7735 7.9974
5082266.7070 7.9987
5092617.6954 7.9826
5102853.6729 7.9920
5112284.5734 7.9853
5121025.4081 7.9719
5130456.3087 7.9639
5139887.2092 7.9773
5149203.0988 7.9868
5159439.0762 7.9962
5168524.9438 7.9786
5178172.3874 7.9732
5189526.7249 7.9854
5198357.8762 7.9935
5208280.3609 8.0016
5218659.0518 7.9948
5228581.5366 7.9935
5237933.7635 7.9800
5247285.9905 7.9813
5257266.6316 7.9868
5266339.9417 7.9854
5276093.7501 7.9922
5285707.2601 8.0045
5295194.4150 7.9908
5304794.5121 7.9854
5313792.1317 7.9908
5323914.4537 7.9799
5334149.2460 7.9908
5343821.6870 7.9854
5353831.5388 7.9963
5362829.1584 7.9908
5372825.0443 7.9826
5382596.3036 7.9799
5391643.0181 7.9812
5401624.9960 7.9799
5410817.7541 7.9895
5420342.7805 7.9923
5430407.5255 7.9881
5438249.2825 7.9812
5448175.6691 7.9923
5456986.8133 7.9937
5466348.6540 7.9798
5475930.7733 7.9840
5485733.1712 7.9992
5494654.4546 7.9923
5504553.1618 7.9881
5513424.7612 7.9812
5523282.0938 7.9799
5533248.9523 7.9895
5542996.7590 7.9771
5551965.3538 7.9826
5561018.0080 7.9757
5570943.2072 7.9840
5580092.1470 7.9799
5589867.2487 7.9799
5599954.0942 7.9854
5609580.1797 7.9771
5619422.5818 7.9896
5628291.5595 7.9785
5638336.2441 7.9826
5648488.9361 7.9882
5658533.6207 7.9965
5667822.2538 7.9688
5678190.9605 7.9937
5687669.1049 7.9965
5697335.6314 7.9840
5707216.9696 7.9895
5716776.0903 8.0035
