Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
208,3546490,3556013,3556327,0.310000,0.000746,1328,-22.272077,5921.200000,30828.500000,6.308279,375.778894
209,3556327,3565537,3565989,0.450000,0.000745,990,-22.308217,5930.720000,30923.300000,4.935069,332.911786
210,3565989,3575055,3575449,0.390000,0.000575,3832,-17.128690,5940.240000,31018.200000,5.301468,282.065901
211,3575449,3584069,3584547,0.480000,0.000538,4723,-16.035232,5949.250000,31108.600000,3.569772,323.877544
212,3584547,3593301,3593807,0.510000,0.000550,4743,-16.464111,5958.480000,31200.700000,6.133397,342.423440
213,3593807,3603064,3603414,0.350000,0.000696,1301,-21.067362,5968.250000,31298.100000,5.893146,362.159252
214,3603414,3612414,3613039,0.620000,0.000755,1050,-22.972209,5977.600000,31391.100000,7.113042,363.118896
215,3613039,3622039,3622566,0.530000,0.000534,6023,-16.103433,5987.220000,31487.600000,5.090741,313.756859
216,3622566,3631143,3631823,0.680000,0.000557,4288,-16.899611,5996.330000,31578.200000,6.253263,366.941032
217,3631823,3641000,3641379,0.380000,0.000571,4427,-17.391989,6006.180000,31676.200000,6.496460,339.795990
218,3641379,3650701,3651156,0.460000,0.000676,1822,-20.769485,6015.880000,31773.000000,5.188151,376.530111
219,3651156,3660419,3660815,0.400000,0.000726,1301,-22.433515,6025.600000,31870.200000,5.438146,386.098548
220,3660815,3670026,3670467,0.440000,0.000534,6023,-16.358482,6035.210000,31966.600000,5.949034,327.757089
221,3670467,3679328,3679818,0.490000,0.000553,5027,-17.041443,6044.510000,32059.100000,3.600185,302.597804
222,3679818,3688695,3689269,0.570000,0.000534,5751,-16.463016,6053.880000,32152.500000,5.909861,358.282008
223,3689269,3698365,3698970,0.600000,0.000573,4732,-17.760228,6063.550000,32249.300000,4.283325,275.121064
224,3698970,3707683,3708142,0.460000,0.000580,3967,-18.048550,6072.870000,32342.100000,5.515398,316.238472
225,3708142,3717019,3717417,0.400000,0.000578,3931,-18.040199,6082.200000,32435.600000,4.237380,342.161957
226,3717417,3726652,3727051,0.390000,0.000523,6607,-16.322654,6091.840000,32531.500000,6.288635,344.486627
227,3727051,3736414,3736734,0.320000,0.000558,5660,-17.498379,6101.600000,32628.800000,6.758835,333.076915
228,3736734,3746041,3746377,0.340000,0.000557,5111,-17.519514,6111.220000,32725.200000,7.868356,370.986296
229,3746377,3755711,3756065,0.360000,0.000734,1337,-23.386656,6120.890000,32821.500000,6.196527,376.825850
230,3756065,3765060,3765651,0.590000,0.000695,1563,-22.150972,6130.240000,32915.000000,4.208831,367.935647
231,3765651,3774598,3774954,0.360000,0.000761,1177,-24.401788,6139.780000,33009.800000,6.603166,359.925277
232,3774954,3783827,3784137,0.310000,0.000542,5879,-17.239950,6149.010000,33102.200000,6.216495,352.553516
233,3784137,3793111,3793376,0.270000,0.000747,1062,-24.075181,6158.290000,33195.000000,7.332802,393.224072
234,3793376,3803019,3803320,0.300000,0.000663,2269,-21.372023,6168.200000,33293.900000,5.912829,296.459167
235,3803320,3812450,3812751,0.300000,0.000718,1138,-23.256919,6177.630000,33387.800000,6.706386,357.573968
236,3812751,3821633,3822208,0.570000,0.000549,5910,-17.678147,6186.820000,33479.600000,7.369521,337.415446
237,3822208,3831048,3831463,0.420000,0.000578,4181,-18.703214,6196.230000,33573.500000,5.518955,254.847944
238,3831463,3839586,3840113,0.530000,0.000537,5117,-17.385577,6204.770000,33658.500000,6.898612,344.896100
239,3840113,3849120,3849521,0.400000,0.000554,5424,-18.002113,6214.300000,33753.300000,4.885727,287.637819
240,3849521,3858029,3858459,0.430000,0.000546,5254,-17.787974,6223.210000,33842.800000,3.731452,313.863059
241,3858459,3867664,3868191,0.520000,0.000571,4792,-18.679994,6232.850000,33938.600000,5.111453,295.865946
242,3868191,3876749,3877174,0.430000,0.000550,4806,-18.030565,6241.930000,34029.600000,5.496670,298.675337
243,3877174,3885530,3886104,0.580000,0.000566,3975,-18.610665,6250.710000,34117.200000,6.579142,293.971325
244,3886104,3895005,3895413,0.410000,0.000535,6570,-17.586910,6260.190000,34211.900000,3.822835,407.973487
245,3895413,3904747,3905157,0.410000,0.000597,4154,-19.785729,6269.930000,34308.800000,3.813579,385.452455
246,3905157,3914818,3915174,0.360000,0.000795,995,-26.616423,6280.000000,34409.500000,6.730908,371.964154
247,3915174,3924196,3924791,0.590000,0.000566,4835,-18.831556,6289.380000,34503.200000,4.796745,268.516252
248,3924791,3933509,3933912,0.410000,0.000548,5585,-18.262268,6298.690000,34595.700000,6.402970,420.785545
249,3933912,3943273,3943746,0.470000,0.000712,1554,-23.996492,6308.460000,34694.000000,5.311173,312.701691
