RowNumber Stress
3198478.4481 5.9777
3207120.8231 5.9861
3215205.6255 6.0058
3223917.6970 6.0100
3231793.4096 5.9974
3241063.0537 6.0044
3249147.8561 6.0100
3258278.1070 6.0044
3266223.5163 5.9945
3274656.8015 5.9959
3284495.5154 5.9704
3292171.1078 5.9916
3301521.3750 6.0072
3309755.1923 5.9931
3317640.1190 6.0058
3326990.3862 6.0157
3334805.5348 6.0030
3344504.6925 5.9902
3352668.7317 5.9860
3361460.7739 5.9776
3370252.8162 5.9762
3379603.0833 5.9902
3387776.6739 5.9874
3396998.1608 5.9888
3406079.9282 6.0100
3414104.4111 5.9902
3422128.8941 6.0186
3432153.4724 5.9958
3439184.6002 5.9958
3447747.2607 6.0101
3456717.1179 6.0130
3463948.6307 6.0015
3474170.0958 6.0130
3483557.1556 6.0015
3490858.2021 5.9871
3500431.4499 5.9972
3510004.6977 6.0174
3519022.9747 6.0174
3526445.7103 5.9884
3537185.7061 6.0130
3543768.2841 6.0029
3553249.9616 6.0145
3561328.5387 6.0058
3570363.2131 6.0146
3579180.6706 6.0293
3587653.6963 6.0249
3596392.0441 6.0101
3605130.3919 6.0204
3613180.6809 6.0249
3621919.0287 6.0160
3630313.3471 6.0190
3638835.3071 5.9967
3647288.5416 5.9982
3655673.0506 6.0012
3663507.7558 5.9834
3672029.7157 6.0027
3680160.3750 5.9982
3688222.7094 5.9967
3696470.7078 5.9967
3705945.6812 5.9982
3713989.1838 5.9878
3722646.1739 5.9878
3731848.4861 5.9878
3740232.8151 5.9983
3747662.8302 6.0177
3755297.3411 5.9923
3764704.1492 5.9983
3772815.8171 5.9953
3780245.8322 5.9744
3789107.3180 5.9878
3798718.6220 5.9863
3805875.9760 5.9714
3814192.1397 5.9833
3820940.5020 5.9908
3830892.6323 5.9923
3837300.1682 5.9878
3847184.1333 5.9878
3856454.6108 5.9968
3863816.4606 5.9923
3872667.5913 6.0043
3880565.5232 5.9832
3888735.7976 5.9817
3896565.6439 5.9802
3904404.8771 5.9817
3912699.4453 5.9741
3921636.6548 5.9833
3929580.8411 5.9710
3936476.9718 5.9756
3946591.2968 5.9726
3954981.5892 5.9862
3964176.4301 6.0136
3971762.1739 5.9922
3980267.4018 5.9831
3988437.3703 5.9754
3996377.1989 5.9831
4004834.8424 5.9785
4013167.6670 5.9815
4022017.7014 5.9785
4030647.9498 5.9739
4039105.5933 5.9800
4047448.1668 5.9800
4054521.7283 5.9846
4061837.5351 5.8303
4284271.0268 5.9623
4292061.2671 5.9850
4299933.5099 5.9650
4308543.7755 5.9610
4316006.0057 5.9570
4324780.2764 5.9476
4334046.5622 5.9503
4341590.7949 5.9342
4350201.0605 5.9209
4359221.3388 5.9690
4367503.5942 5.9596
4374965.8244 5.9596
4384068.1052 5.9556
4392432.3632 5.9596
4400960.6263 5.9650
4408094.8464 5.9770
4417771.1448 5.9864
4424823.3624 5.9743
4433187.6204 5.9850
4439747.8228 5.9662
4448850.1035 5.9810
4457122.6806 5.9715
4464649.2917 5.9742
4472748.5797 5.9674
4480684.2457 5.9688
4489028.9666 5.9865
4495647.9130 5.9783
4504228.0288 5.9769
4511900.2991 5.9769
4520378.8491 5.9606
4529173.2082 5.9879
4536827.5579 5.9851
4544735.4362 5.9701
4552969.4126 5.9592
4561529.4870 5.9961
4569111.2673 5.9879
4576684.1877 5.9673
4583768.5326 5.9728
4591820.6080 5.9838
4601011.3608 5.9947
4609440.4874 5.9906
4617464.3676 6.0044
4624993.1437 6.0002
4632521.9199 5.9989
