RowNumber Stress
2902196.6608 7.3736
2911761.2982 7.3702
2923064.7726 7.3778
2932660.5308 7.3803
2943410.6659 7.3770
2953499.4478 7.3719
2963000.4118 7.3703
2972561.9645 7.3745
2982986.2138 7.3703
2992751.8094 7.3686
3003607.4069 7.3762
3012367.7207 7.3762
3022779.5689 7.3719
3031948.8627 7.3796
3041476.3320 7.3796
3051755.0166 7.3821
3061308.5250 7.3804
3071788.8663 7.3872
3081770.1437 7.3838
3091537.5367 7.3813
3101019.7502 7.3898
3111060.3637 7.3838
3120804.5313 7.3923
3130619.8243 7.4000
3140233.1776 7.4034
3150416.2111 7.4059
3159815.9343 7.4034
3169631.2273 7.4076
3179565.0934 7.3914
3188505.5729 7.4026
3198155.6143 7.3983
3207805.6557 7.4051
3217727.7042 7.3931
3227153.6503 7.3974
3236863.0835 7.3879
3246926.8756 7.4138
3256129.2459 7.3811
3265592.2111 7.3741
3276089.4431 7.3811
3286561.7145 7.3863
3296237.8021 7.3880
3305223.4135 7.3819
3314749.6767 7.3872
3325085.7212 7.3785
3334658.7020 7.3828
3344012.4337 7.3819
3354393.1052 7.3793
3365258.2080 7.4202
3373829.3545 7.3966
3383575.5775 7.4036
3394057.1612 7.4028
3403642.2937 7.3870
3412998.2528 7.3799
3423579.8974 7.4019
3433918.4212 7.4152
3443093.0051 7.4099
3453008.9163 7.4152
3462035.8148 7.3984
3472293.6540 7.4098
3482619.8787 7.4054
3492946.1035 7.3912
3501904.6163 7.3948
3511820.5275 7.3770
3522146.7523 7.4019
3530626.5660 7.4010
3540610.8628 7.3974
3550663.5451 7.3930
3559143.3588 7.3734
3569388.9950 7.3832
3579350.5865 7.3886
3588242.4769 7.3868
3598538.3499 7.3841
3606828.5334 7.3805
3616455.8433 7.3967
3625748.8716 7.3922
3635911.0321 7.3868
3645337.7730 7.3850
3654898.2265 7.3778
3665060.3870 7.3796
3673828.9961 7.3688
3682664.5412 7.3715
3692626.1326 7.3769
3702721.4368 7.3706
3711813.8961 7.3724
3721240.6370 7.3760
3730801.0906 7.3634
3739904.3795 7.3552
3749342.3480 7.3525
3760185.9715 7.3706
3769356.1963 7.4040
3778392.5493 7.3887
3787495.8381 7.3851
3797000.7427 7.3796
3807497.1847 7.3914
3816856.8395 7.3923
3826205.3599 7.3968
3835179.5414 7.4077
3843295.8968 7.3977
3853050.2999 7.3941
3863134.2437 7.3941
3872756.8306 7.3941
3881137.1324 7.4051
3889649.4076 7.3683
3898953.5222 7.3673
3909973.2892 7.3775
3919013.4574 7.3673
3927657.7058 7.3793
3937609.8333 7.3552
3947711.4731 7.3682
3957025.9722 7.3626
3966209.2812 7.3785
3975752.0224 7.3757
3985556.2087 7.3869
3995414.0150 7.3692
4004237.7826 7.3795
4012669.3827 7.3570
4022735.0139 7.3776
4032473.8389 7.3916
4040513.2716 7.3645
4050121.3740 7.3832
4059456.9125 7.3870
4068455.3161 7.3936
4077638.3996 7.3945
4087265.9142 7.3888
4096631.1503 7.3945
4105340.1353 7.3964
4114736.3454 7.3917
4121742.9789 7.2315
4245869.6703 7.3707
4255447.5455 7.3716
4264961.1397 7.3573
4273949.7797 7.3678
4283323.6471 7.3545
4292750.4912 7.3478
4300702.3870 7.3478
4310834.6413 7.3487
4320646.2546 7.3516
4329624.2014 7.3478
4339692.3275 7.3411
4348926.7871 7.3439
4357840.6058 7.3362
4368036.9882 7.3430
4376950.8069 7.3372
4386185.2665 7.3362
4395483.8542 7.3362
4404525.9293 7.3324
4413952.7734 7.3401
4423368.4032 7.3420
4431695.1506 7.3420
4441366.9879 7.3459
4451027.3194 7.3459
4460815.6023 7.3497
4470081.0440 7.3545
4479961.9305 7.3478
4489205.3404 7.3497
4498703.7410 7.3391
4507681.4674 7.3546
4516531.8503 7.3381
4525509.5767 7.3333
4534349.4309 7.3400
4543993.0484 7.3449
4552811.8828 7.3478
4562899.6143 7.3207
4571781.8935 7.3371
4580885.3855 7.3400
4589988.8774 7.3497
4599122.9120 7.3342
4607438.0332 7.3206
4617504.9777 7.3526
4626114.5447 7.3381
4636471.3956 7.3400
4646012.2523 7.3477
4654278.0315 7.3584
4663824.6690 7.3536
4672809.7396 7.3449
4682772.1903 7.3468
4691930.2195 7.3651
4701004.7409 7.3603
4709894.0680 7.3594
4718556.2076 7.3565
4728072.3610 7.3680
4736734.5006 7.3508
4745945.6491 7.3680
4754302.7838 7.3565
4763696.9352 7.3593
4771993.0689 7.3488
4781376.0448 7.3488
4790088.8081 7.3411
4799532.7123 7.3411
4808174.2548 7.3478
4816572.3735 7.3478
4825933.0381 7.3497
4834868.2180 7.3401
4843438.6967 7.3372
4853528.7638 7.3421
4863193.3461 7.3363
4872189.3096 7.3382
4881610.7577 7.3402
4890545.9376 7.3634
4900104.1182 7.3595
4908865.4310 7.3518
4918644.2645 7.3479
4927043.2626 7.3362
4936271.1697 7.3498
4945607.7994 7.3537
4954536.0991 7.3508
4963573.4779 7.3362
4972610.8566 7.3265
4981049.7335 7.3333
4990266.6628 7.3489
4999510.3739 7.3245
5009636.5770 7.3236
5018917.8031 7.3265
5028972.4647 7.3245
5038134.7008 7.3284
5047713.4021 7.3401
5056578.1629 7.3460
5066037.8742 7.3627
5075140.6152 7.3392
5085373.7619 7.3401
5094119.5327 7.3392
5103247.3716 7.3450
5113077.3520 7.3392
5120274.3019 7.3294
5129569.5634 7.3372
5137993.3942 7.3236
5147695.3235 7.3197
5155605.7062 7.3197
5164039.5701 7.3109
5174612.9301 7.3168
5183316.8711 7.3403
5192532.0727 7.3570
5201079.1684 7.3373
5210182.0738 7.3225
5219665.6681 7.3354
5229470.7500 7.3105
5238394.4672 7.3255
5248119.0309 7.3225
5256013.0884 7.3264
5264879.6024 7.3284
5273860.5229 7.3632
5283470.6799 7.3303
5292440.9165 7.3403
5301354.0179 7.3443
5310188.9259 7.3463
5319007.0506 7.3382
5328379.2770 7.3422
5337683.9620 7.3624
5346875.8628 7.3655
5356078.7117 7.3523
5364660.5094 7.3431
5374032.7358 7.3442
5383292.0438 7.3421
5392935.0809 7.3370
5402217.6408 7.3370
5411443.9428 7.3432
5419892.6844 7.3401
5428939.4375 7.3401
5438221.9974 7.3411
5447008.6887 7.3453
5455610.7553 7.3515
5465441.6885 7.3276
5474602.3308 7.3546
5485159.4125 7.3411
5493436.1799 7.3265
5501966.8689 7.3412
5510331.3755 7.3453
5519999.8368 7.3591
5528294.9370 7.3538
5537304.1850 7.3368
5546972.6462 7.3443
5554608.5332 7.3325
5563288.1746 7.3262
5572681.9636 7.3262
5581954.8393 7.3358
5590788.7624 7.3251
5599293.4709 7.3240
5607870.4079 7.3055
5617250.4390 7.3218
5626196.7114 7.3240
5635662.6201 7.3185
5641288.0744 7.1502
