Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
279,4077755,4085487,4086085,0.600000,0.001048,634,-37.217545,6722.990000,36220.600000,6.071730,225.330705
280,4086085,4094063,4094688,0.620000,0.000552,6170,-19.352338,6731.570000,36306.500000,5.975578,215.175182
281,4094688,4230245,4237624,7.380000,0.001128,449,-40.306671,6867.750000,36404.500000,nan,475.124171
282,4237624,4245831,4246134,0.300000,0.000524,6287,-18.454616,6883.340000,36560.300000,7.140707,458.229832
283,4246134,4254277,4254599,0.320000,0.000526,5825,-18.587123,6891.780000,36644.400000,9.557965,479.460942
284,4254599,4262781,4263208,0.420000,0.000539,5351,-19.087072,6900.290000,36729.700000,5.103318,449.219781
285,4263208,4271337,4271767,0.430000,0.000529,5597,-18.790504,6908.840000,36814.700000,6.637905,458.494054
286,4271767,4280341,4280683,0.340000,0.000532,5813,-18.918529,6917.850000,36904.700000,8.026681,469.769302
287,4280683,4289192,4289501,0.310000,0.000531,5795,-18.936512,6926.700000,36992.900000,7.770275,494.586176
288,4289501,4298041,4298380,0.340000,0.000534,5995,-19.085691,6935.550000,37081.200000,7.117497,484.545864
289,4298380,4306758,4307124,0.370000,0.000528,5702,-18.923432,6944.260000,37168.000000,8.676184,473.375017
290,4307124,4315694,4315966,0.270000,0.000540,5738,-19.434047,6953.200000,37257.700000,7.108466,452.647168
291,4315966,4324482,4324885,0.400000,0.000491,7901,-17.651315,6961.990000,37345.100000,4.806346,443.972862
292,4324885,4333043,4333578,0.530000,0.000526,5858,-19.000462,6970.550000,37430.600000,6.259500,439.345878
293,4333578,4341534,4341944,0.410000,0.000507,6445,-18.337238,6979.040000,37515.100000,6.134289,478.814466
294,4341944,4350497,4350903,0.410000,0.000530,6091,-19.228268,6988.000000,37604.900000,5.720522,490.896941
295,4350903,4359665,4359961,0.300000,0.000529,5901,-19.255003,6997.170000,37696.600000,8.122184,459.622320
296,4359961,4367986,4368527,0.540000,0.000519,5947,-18.891330,7005.490000,37779.300000,5.285967,471.429817
297,4368527,4376815,4377075,0.260000,0.000507,6261,-18.504555,7014.320000,37867.500000,8.713244,474.779908
298,4377075,4385700,4386107,0.400000,0.000516,6261,-18.892155,7023.210000,37956.200000,5.601293,440.967344
299,4386107,4394053,4394365,0.310000,0.000519,5351,-19.040808,7031.560000,38039.500000,7.781119,452.901208
300,4394365,4402521,4402958,0.430000,0.000518,5858,-19.033189,7040.030000,38124.100000,4.838390,452.544042
301,4402958,4410978,4411599,0.620000,0.000508,6070,-18.717123,7048.480000,38208.400000,3.532628,422.513111
302,4411599,4419373,4419731,0.360000,0.000501,5916,-18.473871,7056.880000,38292.000000,6.316053,445.961814
303,4419731,4428092,4428529,0.430000,0.000510,6119,-18.867928,7065.600000,38378.600000,5.229005,468.530033
304,4428529,4436905,4437316,0.410000,0.000528,5449,-19.618440,7074.410000,38466.800000,6.053475,433.533465
305,4437316,4444949,4445560,0.620000,0.000510,5478,-18.971754,7082.450000,38547.500000,5.949623,445.499396
306,4445560,4454196,4454558,0.360000,0.000531,5598,-19.810436,7091.700000,38639.600000,5.976775,416.871427
307,4454558,4462455,4462883,0.430000,0.000502,5937,-18.750721,7099.960000,38721.700000,5.876481,466.921555
308,4462883,4471533,4471899,0.360000,0.000505,6587,-18.906885,7109.040000,38812.400000,6.235906,446.748019
309,4471899,4480093,4480634,0.540000,0.000516,6436,-19.363970,7117.600000,38898.100000,6.110838,418.969839
310,4480634,4488506,4488964,0.460000,0.000511,5944,-19.226799,7126.010000,38981.900000,5.860389,423.172514
311,4488964,4496844,4497097,0.250000,0.000514,5409,-19.383303,7134.350000,39065.100000,8.040077,444.754550
312,4497097,4505026,4505384,0.360000,0.000510,5896,-19.269063,7142.530000,39146.800000,6.573978,464.180093
313,4505384,4513909,4514332,0.430000,0.000521,5960,-19.742466,7151.410000,39235.700000,7.853014,457.744973
314,4514332,4522507,4522951,0.450000,0.000523,5798,-19.861631,7160.010000,39321.400000,5.031328,456.867172
315,4522951,4530908,4531228,0.320000,0.000502,6058,-19.089416,7168.410000,39405.200000,7.952058,460.639906
316,4531228,4539302,4539592,0.290000,0.000516,5659,-19.691821,7176.810000,39488.500000,7.160879,427.990342
317,4539592,4547733,4548157,0.420000,0.000513,5917,-19.613976,7185.240000,39573.500000,5.771708,430.362189
318,4548157,4555981,4556313,0.330000,0.000509,5946,-19.492282,7193.490000,39655.400000,7.131574,408.607383
319,4556313,4563713,4564275,0.560000,0.000492,6091,-18.866377,7201.220000,39733.000000,6.373015,429.360029
320,4564275,4572497,4572981,0.490000,0.000512,6043,-19.699507,7210.000000,39820.500000,6.054082,406.703351
321,4572981,4580973,4581467,0.490000,0.000514,5787,-19.817749,7218.480000,39904.600000,6.212179,440.871681
322,4581467,4589504,4589910,0.410000,0.000514,5693,-19.870095,7227.010000,39989.900000,6.279512,451.953866
323,4589910,4598027,4598403,0.380000,0.000514,5899,-19.921270,7235.530000,40074.900000,7.627850,390.323098
324,4598403,4606191,4606531,0.340000,0.000513,5638,-19.891995,7243.700000,40156.200000,9.869595,490.282528
325,4606531,4615041,4615369,0.320000,0.000534,5496,-20.795172,7252.550000,40244.700000,7.970769,470.122525
326,4615369,4623514,4623983,0.470000,0.000520,5641,-20.268625,7261.020000,40329.800000,6.942625,447.145706
327,4623983,4632503,4632902,0.400000,0.000531,5525,-20.752490,7270.010000,40419.300000,5.871259,453.550348
328,4632902,4641211,4641665,0.450000,0.000519,6063,-20.310362,7278.720000,40506.000000,5.069273,418.668876
329,4641665,4649505,4650080,0.580000,0.000526,5334,-20.659625,7287.010000,40589.300000,6.310274,356.203990
330,4650080,4657507,4657873,0.370000,0.000507,5394,-19.929007,7295.010000,40668.900000,9.127910,470.062989
331,4657873,4666252,4666710,0.460000,0.000537,5632,-21.184989,7303.760000,40756.000000,5.990840,383.222409
332,4666710,4674223,4674681,0.460000,0.000497,5815,-19.609099,7311.730000,40835.900000,6.141971,435.209369
333,4674681,4682809,4683137,0.330000,0.000520,5681,-20.582622,7320.310000,40921.500000,8.849275,457.074450
334,4683137,4691792,4692070,0.280000,0.000534,5739,-21.211479,7329.300000,41010.700000,9.049275,483.616994
335,4692070,4700230,4700622,0.390000,0.000526,5468,-20.928738,7337.740000,41095.100000,6.756681,474.626743
336,4700622,4708529,4709090,0.570000,0.000524,5632,-20.890279,7346.030000,41178.300000,6.516383,441.912380
337,4709090,4716923,4717248,0.320000,0.000526,5738,-21.017557,7354.430000,41262.000000,7.904145,477.195216
338,4717248,4725482,4725823,0.340000,0.000525,5931,-21.001905,7362.990000,41347.300000,5.619505,446.481886
339,4725823,4734131,4734493,0.360000,0.000535,5692,-21.462708,7371.640000,41433.600000,6.641282,474.486848
340,4734493,4742948,4743340,0.400000,0.000534,6050,-21.472933,7380.450000,41521.300000,6.181672,396.174971
341,4743340,4750796,4751123,0.330000,0.000512,5198,-20.604664,7388.300000,41599.600000,9.917597,445.170080
342,4751123,4759053,4759385,0.330000,0.000537,5206,-21.696742,7396.560000,41682.000000,8.365961,425.647119
343,4759385,4767455,4767845,0.390000,0.000524,5796,-21.178633,7404.960000,41766.500000,6.266636,448.813262
344,4767845,4775777,4776134,0.360000,0.000517,5352,-20.955373,7413.280000,41849.600000,7.861017,391.620162
345,4776134,4783529,4784134,0.610000,0.000516,5480,-20.933209,7421.030000,41926.900000,6.286614,318.766703
346,4784134,4791276,4791581,0.310000,0.000502,5249,-20.370869,7428.780000,42003.800000,9.631164,426.433669
347,4791581,4799931,4800302,0.370000,0.000531,5526,-21.634352,7437.440000,42090.300000,6.220710,418.198379
348,4800302,4808081,4808713,0.630000,0.000526,5958,-21.481211,7445.590000,42171.600000,5.257737,435.513517
349,4808713,4816782,4817034,0.250000,0.000533,5216,-21.821188,7454.290000,42258.700000,6.514045,441.015793
350,4817034,4825137,4825461,0.330000,0.000512,6206,-20.985064,7462.640000,42342.100000,8.620737,407.774127
351,4825461,4833282,4833700,0.420000,0.000512,5947,-21.020488,7470.790000,42423.000000,5.152647,466.155706
352,4833700,4841782,4842347,0.560000,0.000535,5754,-22.055680,7479.290000,42507.900000,5.262854,438.985982
353,4842347,4850237,4850666,0.430000,0.000533,5422,-22.024763,7487.740000,42592.400000,5.634970,450.302464
354,4850666,4858503,4858862,0.360000,0.000534,5370,-22.081084,7496.010000,42674.800000,7.289389,443.044242
355,4858862,4866707,4866985,0.280000,0.000526,5519,-21.791340,7504.210000,42756.800000,8.333829,420.462535
356,4866985,4874529,4874974,0.450000,0.000505,6007,-20.920263,7512.030000,42835.200000,6.194215,440.597972
357,4874974,4883068,4883333,0.270000,0.000526,5564,-21.891473,7520.570000,42920.400000,7.362227,471.155137
358,4883333,4891516,4892119,0.600000,0.000537,5682,-22.389786,7529.020000,43004.700000,5.694559,450.012921
359,4892119,4900000,4900310,0.310000,0.000518,5767,-21.615262,7537.510000,43089.000000,8.800755,417.016582
