Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
330,3809227,3814935,3816147,1.210000,0.000732,4178,-24.481491,5856.380000,34420.100000
331,3816147,3823064,3823612,0.550000,0.000754,4624,-25.320624,5864.510000,34501.400000
332,3823612,3830416,3830900,0.480000,0.000765,3956,-25.753091,5871.860000,34575.000000
333,3830900,3837273,3837823,0.550000,0.000727,4494,-24.464951,5878.720000,34643.300000
334,3837823,3844452,3845047,0.590000,0.000734,4382,-24.782269,5885.900000,34714.600000
335,3845047,3851452,3852134,0.680000,0.000730,4279,-24.691109,5892.900000,34784.500000
336,3852134,3858525,3859152,0.630000,0.000715,4386,-24.208922,5899.970000,34855.200000
337,3859152,3865840,3866393,0.560000,0.000734,4084,-24.938845,5907.280000,34928.100000
338,3866393,3872970,3873522,0.560000,0.000705,4845,-23.953907,5914.410000,34999.300000
339,3873522,3879983,3880620,0.630000,0.000724,4062,-24.692069,5921.430000,35069.700000
340,3880620,3886575,3887274,0.700000,0.000692,3853,-23.615938,5928.020000,35135.000000
341,3887274,3893373,3894066,0.690000,0.000705,3888,-24.126701,5934.820000,35202.800000
342,3894066,3900364,3900987,0.620000,0.000693,4224,-23.739645,5941.810000,35272.800000
343,3900987,3907455,3907998,0.540000,0.000680,4996,-23.333968,5948.900000,35343.500000
344,3907998,3913895,3914510,0.610000,0.000707,3576,-24.318231,5955.340000,35407.700000
345,3914510,3920632,3921266,0.630000,0.000684,4762,-23.563015,5962.080000,35474.900000
346,3921266,3927122,3927647,0.520000,0.000720,3207,-24.891508,5968.570000,35540.500000
347,3927647,3934185,3934698,0.510000,0.000865,1918,-30.071837,5975.630000,35610.000000
348,3934698,3941407,3941999,0.590000,0.000760,3584,-26.416075,5982.850000,35681.900000
349,3941999,3948562,3949087,0.520000,0.000716,4594,-24.904691,5990.010000,35753.500000
350,3949087,4074163,4074445,0.280000,0.000736,4178,-25.667212,6115.610000,35852.500000
351,4074445,4080346,4080821,0.480000,0.000574,5433,-19.904740,6121.790000,35913.700000
352,4080821,4086222,4086752,0.530000,0.000561,4659,-19.474155,6127.670000,35972.500000
353,4086752,4092570,4093249,0.680000,0.000604,4738,-21.056840,6134.010000,36036.100000
354,4093249,4098918,4099745,0.830000,0.000610,4644,-21.324469,6140.360000,36099.600000
355,4099745,4105772,4106247,0.470000,0.000612,4628,-21.417529,6147.220000,36167.400000
356,4106247,4113186,4113650,0.460000,0.000636,5311,-22.342291,6154.630000,36241.900000
357,4113650,4120246,4120878,0.630000,0.000643,4922,-22.651531,6161.690000,36312.000000
358,4120878,4126768,4127236,0.470000,0.000599,4608,-21.086369,6168.210000,36377.500000
359,4127236,4133396,4133914,0.520000,0.000611,4868,-21.564485,6174.840000,36443.800000
360,4133914,4140090,4140563,0.480000,0.000609,4676,-21.517332,6181.530000,36510.500000
361,4140563,4146864,4147295,0.430000,0.000616,4753,-21.840898,6188.310000,36578.000000
362,4147295,4153585,4154177,0.590000,0.000615,5086,-21.840021,6195.030000,36644.900000
363,4154177,4160472,4160959,0.480000,0.000618,4931,-21.977422,6201.920000,36713.800000
364,4160959,4167553,4168113,0.560000,0.000627,4992,-22.347845,6209.000000,36784.300000
365,4168113,4174020,4174593,0.580000,0.000597,4869,-21.293698,6215.460000,36849.100000
366,4174593,4180948,4181493,0.550000,0.000600,5394,-21.438377,6222.390000,36917.800000
367,4181493,4187880,4188312,0.440000,0.000612,4758,-21.944628,6229.320000,36987.500000
368,4188312,4194764,4195373,0.610000,0.000623,4922,-22.387822,6236.210000,37055.700000
369,4195373,4201847,4202582,0.740000,0.000628,4959,-22.619383,6243.290000,37127.000000
370,4202582,4208968,4209653,0.690000,0.000615,4934,-22.187290,6250.410000,37197.700000
371,4209653,4216250,4216882,0.640000,0.000616,4908,-22.274780,6257.690000,37270.800000
372,4216882,4223194,4223634,0.440000,0.000620,4706,-22.454102,6264.640000,37339.400000
373,4223634,4230033,4230522,0.490000,0.000635,4690,-23.044199,6271.480000,37408.300000
374,4230522,4236835,4237593,0.760000,0.000627,5059,-22.784901,6278.280000,37476.100000
375,4237593,4243803,4244377,0.570000,0.000618,4778,-22.494506,6285.250000,37545.700000
376,4244377,4250517,4251070,0.550000,0.000601,4907,-21.912690,6291.960000,37612.600000
377,4251070,4257502,4258012,0.510000,0.000608,5042,-22.200186,6298.950000,37681.800000
378,4258012,4264239,4264788,0.550000,0.000600,4914,-21.937783,6305.680000,37749.500000
379,4264788,4270590,4271081,0.500000,0.000582,4671,-21.294472,6312.030000,37812.800000
380,4271081,4277586,4278174,0.590000,0.000610,4814,-22.412868,6319.030000,37882.600000
381,4278174,4284343,4284785,0.440000,0.000610,4539,-22.432667,6325.790000,37949.600000
382,4284785,4291423,4291951,0.530000,0.000627,4846,-23.131269,6332.870000,38020.700000
383,4291951,4298026,4298406,0.380000,0.000603,4575,-22.279603,6339.470000,38086.700000
384,4298406,4304590,4305211,0.630000,0.000637,4162,-23.585243,6346.030000,38152.000000
385,4305211,4311562,4312141,0.580000,0.000611,4875,-22.650917,6353.010000,38221.700000
386,4312141,4318216,4318884,0.670000,0.000593,5229,-21.994577,6359.660000,38288.400000
387,4318884,4325332,4325848,0.510000,0.000607,5289,-22.592691,6366.780000,38359.000000
388,4325848,4331874,4332293,0.420000,0.000618,4592,-23.031795,6373.320000,38424.800000
389,4332293,4338604,4339315,0.710000,0.000623,5001,-23.297954,6380.050000,38491.700000
390,4339315,4345280,4345770,0.490000,0.000588,4443,-21.988239,6386.720000,38557.800000
391,4345770,4352335,4352909,0.570000,0.000603,5126,-22.574279,6393.780000,38628.200000
392,4352909,4358914,4359447,0.530000,0.000598,4655,-22.429251,6400.360000,38694.000000
393,4359447,4365902,4366279,0.370000,0.000602,5119,-22.647045,6407.350000,38764.000000
394,4366279,4372313,4372782,0.470000,0.000599,4603,-22.554701,6413.760000,38827.600000
395,4372782,4378914,4379379,0.460000,0.000600,4779,-22.619912,6420.360000,38893.400000
396,4379379,4385929,4386436,0.510000,0.000625,4992,-23.643111,6427.370000,38963.400000
397,4386436,4392955,4393414,0.460000,0.000644,4835,-24.451561,6434.400000,39033.800000
398,4393414,4399689,4400108,0.420000,0.000614,4788,-23.319758,6441.130000,39100.900000
399,4400108,4406441,4406898,0.450000,0.000614,4968,-23.339225,6447.890000,39168.200000
400,4406898,4413477,4413896,0.420000,0.000627,4792,-23.886040,6454.920000,39238.600000
401,4413896,4420400,4421075,0.680000,0.000630,4689,-24.048372,6461.840000,39308.200000
402,4421075,4428043,4428445,0.400000,0.000644,5112,-24.664164,6469.490000,39383.800000
403,4428445,4435012,4435465,0.450000,0.000634,4915,-24.293103,6476.460000,39453.300000
404,4435465,4442116,4442561,0.450000,0.000629,5125,-24.138589,6483.560000,39524.700000
405,4442561,4449200,4449548,0.350000,0.000652,4541,-25.117702,6490.640000,39595.000000
406,4449548,4456579,4457037,0.460000,0.000639,5574,-24.658210,6498.020000,39668.600000
407,4457037,4463574,4464152,0.580000,0.000645,4956,-24.942350,6505.020000,39739.100000
408,4464152,4470248,4470781,0.540000,0.000619,4672,-23.936047,6511.690000,39805.300000
409,4470781,4476745,4477276,0.530000,0.000628,4340,-24.343430,6518.190000,39869.900000
410,4477276,4484004,4484433,0.430000,0.000635,5201,-24.647035,6525.450000,39942.200000
411,4484433,4490347,4491145,0.800000,0.000622,4945,-24.202788,6531.790000,40006.300000
412,4491145,4497026,4497385,0.360000,0.000594,4437,-23.094578,6538.470000,40072.700000
413,4497385,4503580,4504039,0.460000,0.000611,4927,-23.808874,6545.020000,40138.100000
414,4504039,4509598,4510155,0.560000,0.000588,4526,-22.922195,6551.040000,40197.900000
415,4510155,4515878,4516343,0.470000,0.000586,4734,-22.874872,6557.320000,40260.400000
416,4516343,4522226,4522673,0.450000,0.000605,4474,-23.711186,6563.670000,40323.700000
417,4522673,4528900,4529471,0.580000,0.000625,4643,-24.561011,6570.340000,40390.000000
418,4529471,4534930,4535459,0.530000,0.000583,4380,-22.884446,6576.370000,40450.500000
419,4535459,4541483,4541991,0.510000,0.000598,4777,-23.514168,6582.930000,40516.000000
420,4541991,4547598,4548222,0.630000,0.000603,4546,-23.758585,6589.040000,40577.100000
421,4548222,4554578,4555169,0.590000,0.000632,4692,-24.981532,6596.020000,40646.900000
422,4555169,4561044,4561724,0.680000,0.000629,4437,-24.906609,6602.490000,40711.900000
423,4561724,4568191,4568621,0.430000,0.000637,4842,-25.289918,6609.640000,40782.400000
424,4568621,4575207,4575598,0.390000,0.000645,4760,-25.661164,6616.650000,40852.500000
425,4575598,4582258,4582712,0.460000,0.000640,5114,-25.478132,6623.700000,40922.900000
426,4582712,4589273,4589693,0.420000,0.000651,4798,-26.002352,6630.720000,40992.900000
427,4589693,4596481,4596912,0.430000,0.000659,4698,-26.346204,6637.930000,41064.800000
428,4596912,4603598,4604019,0.420000,0.000668,4397,-26.769485,6645.040000,41136.000000
429,4604019,4610603,4611174,0.570000,0.000641,4932,-25.708099,6652.050000,41206.100000
430,4611174,4617380,4617810,0.430000,0.000633,4776,-25.419985,6658.820000,41273.400000
431,4617810,4623867,4624334,0.470000,0.000624,4670,-25.100439,6665.310000,41338.200000
432,4624334,4630391,4630878,0.480000,0.000606,5071,-24.407272,6671.840000,41403.300000
433,4630878,4637068,4637582,0.520000,0.000618,4765,-24.922544,6678.510000,41470.000000
434,4637582,4643350,4643814,0.470000,0.000616,4504,-24.866674,6684.790000,41533.100000
435,4643814,4648213,4650390,2.170000,0.000630,4399,-25.518471,6689.660000,41581.600000
436,4650390,4656965,4657291,0.330000,0.000613,5037,-24.825892,6698.410000,41668.500000
437,4657291,4663795,4664220,0.420000,0.000624,5011,-25.328027,6705.240000,41736.500000
438,4664220,4670731,4671279,0.540000,0.000620,5018,-25.213816,6712.180000,41805.800000
439,4671279,4677284,4677864,0.580000,0.000601,4762,-24.474915,6718.730000,41871.900000
440,4677864,4683191,4683698,0.500000,0.000588,4397,-23.954703,6724.640000,41930.300000
441,4683698,4690413,4690920,0.500000,0.000638,5133,-26.114379,6731.860000,42002.100000
442,4690920,4697127,4697827,0.700000,0.000638,4654,-26.132627,6738.570000,42069.800000
443,4697827,4703548,4704261,0.720000,0.000636,3779,-26.080741,6744.990000,42133.700000
444,4704261,4710523,4711076,0.550000,0.000640,4310,-26.304332,6751.970000,42203.000000
445,4711076,4717027,4717562,0.540000,0.000596,4775,-24.499098,6758.470000,42267.600000
446,4717562,4723580,4724241,0.670000,0.000617,4977,-25.440272,6765.020000,42333.600000
447,4724241,4730780,4731243,0.470000,0.000632,4595,-26.093100,6772.220000,42404.900000
448,4731243,4737540,4738036,0.500000,0.000624,4492,-25.808335,6778.980000,42472.500000
449,4738036,4744455,4744983,0.530000,0.000616,5039,-25.518953,6785.900000,42541.400000
450,4744983,4750752,4751352,0.600000,0.000622,4065,-25.811579,6792.200000,42604.300000
451,4751352,4756808,4757319,0.510000,0.000574,4539,-23.801272,6798.250000,42664.600000
452,4757319,4763558,4764075,0.520000,0.000615,4703,-25.567109,6805.000000,42732.400000
453,4764075,4770143,4770778,0.630000,0.000604,4704,-25.153142,6811.590000,42797.900000
